prefecture	term	covered	source_count	categories	example
岐阜県	鎌倉踊	no	1	民俗芸能	東津汲の鎌倉踊
岐阜県	屋台行事	yes	2	風俗慣習	古川祭の起し太鼓・屋台行事
岐阜県	古川祭	yes	1	風俗慣習	古川祭
岐阜県	真桑人形浄瑠璃	yes	1	民俗芸能	真桑人形浄瑠璃
岐阜県	神祭	yes	1	民俗芸能	下呂の田の神祭
岐阜県	起し太鼓	yes	1	風俗慣習	古川祭の起し太鼓・屋台行事
岡山県	大宮踊	no	2	民俗芸能	大宮踊
岡山県	白石踊	no	2	民俗芸能	白石踊
岡山県	とうや行事	no	1	風俗慣習	千屋代城のとうや行事
岡山県	ヒッタカ	no	1	風俗慣習	ヒッタカ
岡山県	会陽	no	1	風俗慣習	西大寺の会陽
岡山県	唐子踊と太刀踊	no	1	民俗芸能	唐子踊と太刀踊
岡山県	弘法寺踟供養	no	1	民俗芸能	弘法寺踟供養
岡山県	備中神楽	yes	2	民俗芸能	備中神楽
岡山県	御田植祭	yes	1	民俗芸能	吉備津彦神社の御田植祭
岡山県	護法祭	yes	1	民俗芸能	美作の護法祭
岩手県	延年	no	2	民俗芸能	毛越寺の延年
岩手県	田植踊	no	2	民俗芸能	山屋の田植踊
岩手県	しし踊	no	1	民俗芸能	青笹のしし踊
岩手県	サイトギ	no	1	風俗慣習	似鳥のサイトギ
岩手県	スネカ	no	1	風俗慣習	吉浜のスネカ
岩手県	チャグチャグ馬コ	no	1	風俗慣習	チャグチャグ馬コ
岩手県	倉沢人形歌舞伎	no	1	民俗芸能	倉沢人形歌舞伎
岩手県	古実式三番	no	1	民俗芸能	古実式三番
岩手県	大念仏	no	1	民俗芸能	永井の大念仏
岩手県	大念仏剣舞	no	1	民俗芸能	永井の大念仏剣舞
岩手県	念仏剣舞	no	1	民俗芸能	川西の念仏剣舞
岩手県	神子舞	no	1	民俗芸能	陸中沿岸地方の神子舞
岩手県	鬼剣舞	no	1	民俗芸能	鬼剣舞
岩手県	早池峰神楽	yes	2	民俗芸能	早池峰神楽
岩手県	マツリバ行事	yes	1	風俗慣習	室根神社祭のマツリバ行事
岩手県	円万寺神楽	yes	1	民俗芸能	円万寺神楽
岩手県	土沢神楽	yes	1	民俗芸能	石鳩岡神楽・土沢神楽
岩手県	大乗神楽	yes	1	民俗芸能	煤孫の大乗神楽
岩手県	廻り神楽	yes	1	民俗芸能	陸中沿岸地方の廻り神楽
岩手県	石鳩岡神楽	yes	1	民俗芸能	石鳩岡神楽・土沢神楽
岩手県	蘇民祭	yes	1	風俗慣習	岩手の蘇民祭
岩手県	鴨沢神楽	yes	1	民俗芸能	鴨沢神楽
岩手県	鵜鳥神楽	yes	1	民俗芸能	鵜鳥神楽
岩手県	黒森神楽	yes	1	民俗芸能	黒森神楽
島根県	佐陀神能	no	2	民俗芸能	佐陀神能
島根県	鷺舞	no	2	民俗芸能	津和野弥栄神社の鷺舞
島根県	お改めとシシ狩り行事	no	1	風俗慣習	山中のお改めとシシ狩り行事
島根県	グロ	no	1	風俗慣習	五十猛のグロ
島根県	シャーラブネ	no	1	風俗慣習	隠岐西ノ島のシャーラブネ
島根県	ホーランエンヤ	no	1	風俗慣習	松江のホーランエンヤ
島根県	大元舞	no	1	民俗芸能	大元舞
島根県	火鑚習俗	no	1	風俗慣習	出雲の火鑚習俗
島根県	糸あやつり人形	no	1	民俗芸能	益田の糸あやつり人形
島根県	蒼柴垣神事	no	1	風俗慣習	蒼柴垣神事
島根県	大元神楽	yes	1	民俗芸能	大元神楽
島根県	大土地神楽	yes	1	民俗芸能	大土地神楽
島根県	屋神楽	yes	1	民俗芸能	槻の屋神楽
島根県	山祭り	yes	1	風俗慣習	布施の山祭り
島根県	島後久見神楽	yes	1	民俗芸能	島後久見神楽
島根県	田楽	yes	1	民俗芸能	美田八幡宮の田楽
広島県	はやし田	no	3	民俗芸能	安芸のはやし田
広島県	大山供養田植	no	2	民俗芸能	塩原の大山供養田植
広島県	タノモサン	no	1	風俗慣習	宮島のタノモサン
広島県	御当	no	1	風俗慣習	久井稲生神社の御当
広島県	花笠踊	no	1	民俗芸能	本地の花笠踊
広島県	弓神楽	yes	1	民俗芸能	弓神楽
広島県	比婆荒神神楽	yes	1	民俗芸能	比婆荒神神楽
広島県	荒神神楽	yes	1	民俗芸能	比婆の荒神神楽
広島県	阿刀神楽	yes	1	民俗芸能	阿刀神楽
徳島県	神代踊	no	2	民俗芸能	西祖谷の神代踊
徳島県	人形芝居	no	1	民俗芸能	阿波の人形芝居
徳島県	曽我氏神社神踊	no	1	民俗芸能	曽我氏神社神踊
徳島県	製作工程	no	1	風俗慣習	蔓橋の製作工程
徳島県	祇園祭	yes	1	風俗慣習	宍喰八坂神社の祇園祭
徳島県	阿波人形浄瑠璃	yes	1	民俗芸能	阿波人形浄瑠璃
愛媛県	お練り行事	no	1	風俗慣習	吉田祭のお練り行事
愛媛県	八つ鹿踊	no	1	民俗芸能	窪野の八つ鹿踊
愛媛県	初盆行事	no	1	風俗慣習	佐田岬半島の初盆行事
愛媛県	船踊	no	1	民俗芸能	興居島の船踊
愛媛県	花取踊	no	1	民俗芸能	増田の花取踊
愛媛県	角突き習俗	no	1	風俗慣習	南予地方の牛の角突き習俗
愛媛県	伊予神楽	yes	2	民俗芸能	伊予神楽
愛知県	尾張	no	2	風俗慣習	尾張・三河の火鑚習俗
愛知県	おためし	no	1	風俗慣習	小畑のおためし
愛知県	からくり	no	1	民俗芸能	知立のからくり
愛知県	とう	no	1	風俗慣習	尾張・三河の花のとう
愛知県	ほうか	no	1	民俗芸能	大海のほうか
愛知県	オマント	no	1	風俗慣習	愛知のオマント
愛知県	シカウチ行事	no	1	風俗慣習	設楽のシカウチ行事
愛知県	三河万歳	no	1	民俗芸能	三河万歳
愛知県	子供ザイレン	no	1	風俗慣習	尾張西部の子供ザイレン
愛知県	尾張万歳	no	1	民俗芸能	尾張万歳
愛知県	火鑚習俗	no	1	風俗慣習	尾張・三河の火鑚習俗
愛知県	車山行事	no	1	風俗慣習	犬山祭の車山行事
愛知県	車楽舟行事	no	1	風俗慣習	尾張津島天王祭の車楽舟行事
愛知県	車楽船行事と神葭流し	no	1	風俗慣習	須成祭の車楽船行事と神葭流し
愛知県	夜念仏と盆踊	yes	2	民俗芸能	綾渡の夜念仏と盆踊
愛知県	田楽	yes	2	民俗芸能	三河の田楽
愛知県	鬼祭	yes	2	風俗慣習	豊橋神明社の鬼祭
愛知県	オコワ祭	yes	1	風俗慣習	尾張西部のオコワ祭
愛知県	参候祭	yes	1	民俗芸能	参候祭
愛知県	天王祭	yes	1	風俗慣習	津島神社の天王祭
愛知県	山車文楽とからくり	yes	1	民俗芸能	知立の山車文楽とからくり
愛知県	山車行事	yes	1	風俗慣習	亀崎潮干祭の山車行事
愛知県	瀧山寺鬼祭り	yes	1	風俗慣習	瀧山寺鬼祭り
