kind_code	kind_name	prefecture	name	category	subcategory	detail_url
302	重要無形民俗文化財	秋田県	大日堂舞楽	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/302/15
302	重要無形民俗文化財	秋田県	小滝のチョウクライロ舞	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/302/00000776
302	重要無形民俗文化財	秋田県	本海獅子舞番楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/302/00000899
302	重要無形民俗文化財	秋田県	東湖八坂神社のトウニン（統人）行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/22
302	重要無形民俗文化財	秋田県	根子番楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/302/763
302	重要無形民俗文化財	秋田県	毛馬内の盆踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/302/642
302	重要無形民俗文化財	秋田県	男鹿のナマハゲ	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/302/17
302	重要無形民俗文化財	秋田県	秋田のイタヤ箕製作技術	民俗技術	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/302/00000852
302	重要無形民俗文化財	秋田県	秋田の竿灯	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/18
302	重要無形民俗文化財	秋田県	花輪祭の屋台行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/00000893
302	重要無形民俗文化財	秋田県	西馬音内の盆踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/302/19
302	重要無形民俗文化財	秋田県	角館祭りのやま行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/23
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	おやま囃子	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/215
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	中里のカンデッコあげ行事	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/312/223
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	保呂羽山の霜月神楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/212
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	八郎潟漁撈習俗	風俗慣習	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/312/210
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	大日堂舞楽	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/312/211
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	小滝のチョウクライロ舞	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/219
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	本海番楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/649
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	根子番楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/214
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	毛馬内の盆踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/217
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	猿倉人形芝居	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/312/648
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	秋田万歳	民俗芸能	語り物・祝福芸	https://kunishitei.bunka.go.jp/heritage/detail/312/216
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	綴子の大太鼓	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/218
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	羽後のイタコの習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/221
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	能代のナゴメハギ	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/312/220
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	荒処の沼入り梵天行事	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/312/222
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	西馬音内の盆踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/213
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	象潟の盆小屋行事	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/312/00000845
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	阿仁地方の万灯火	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/312/00000801
312	記録作成等の措置を講ずべき無形の民俗文化財	秋田県	鳥海山北麓の獅子舞番楽	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/00000913
322	登録無形民俗文化財	秋田県	大館のとんぶり製造技術	民俗技術	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/322/00001048
302	重要無形民俗文化財	山形県	新庄まつりの山車行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/00000853
302	重要無形民俗文化財	山形県	杉沢比山	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/302/25
302	重要無形民俗文化財	山形県	松例祭の大松明行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/00000894
302	重要無形民俗文化財	山形県	林家舞楽	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/302/26
302	重要無形民俗文化財	山形県	遊佐の小正月行事	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/302/712
302	重要無形民俗文化財	山形県	黒川能	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/302/24
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	吹浦延年	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/232
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	安久津延年	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/234
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	山寺夜行念仏の習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/719
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	庄内のモリ供養の習俗	風俗慣習	人生・儀礼	https://kunishitei.bunka.go.jp/heritage/detail/312/739
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	新山の延年	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/230
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	最上地方の山の神の勧進	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/00000815
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	杉沢比山	民俗芸能	神楽	https://kunishitei.bunka.go.jp/heritage/detail/312/225
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	村山地方のオナカマ習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/229
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	浜中のケヤキキョウダイ（契約姉妹）	風俗慣習	社会生活（民俗知識）	https://kunishitei.bunka.go.jp/heritage/detail/312/235
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	萩野・仁田山鹿子踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/228
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	蕨岡延年	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/233
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	谷地の舞楽	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/312/226
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	遊佐のアマハゲ	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/312/231
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	高寺八講	民俗芸能	延年・おこない	https://kunishitei.bunka.go.jp/heritage/detail/312/227
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	黒川能	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/312/224
312	記録作成等の措置を講ずべき無形の民俗文化財	山形県	黒森歌舞伎	民俗芸能	渡来芸・舞台芸	https://kunishitei.bunka.go.jp/heritage/detail/312/650
322	登録無形民俗文化財	山形県	庄内の笹巻製造技術	民俗技術	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/322/00001044
302	重要無形民俗文化財	福島県	三島のサイノカミ	風俗慣習	年中行事	https://kunishitei.bunka.go.jp/heritage/detail/302/00000842
302	重要無形民俗文化財	福島県	会津の御田植祭	風俗慣習	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/302/00000959
302	重要無形民俗文化財	福島県	御宝殿の稚児田楽・風流	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/302/27
302	重要無形民俗文化財	福島県	木幡の幡祭り	風俗慣習	人生・儀礼	https://kunishitei.bunka.go.jp/heritage/detail/302/766
302	重要無形民俗文化財	福島県	田島祇園祭のおとうや行事	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/30
302	重要無形民俗文化財	福島県	相馬野馬追	風俗慣習	娯楽・競技	https://kunishitei.bunka.go.jp/heritage/detail/302/28
302	重要無形民俗文化財	福島県	石井の七福神と田植踊	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/302/624
302	重要無形民俗文化財	福島県	都々古別神社の御田植	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/302/00000777
302	重要無形民俗文化財	福島県	金沢の羽山ごもり	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/302/29
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	上羽太の天道念仏踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/661
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	中付駑者の習俗	風俗慣習	生産・生業	https://kunishitei.bunka.go.jp/heritage/detail/312/242
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	会津の初市の習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/664
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	会津の御田植祭	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/00000924
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	冬木沢参りの習俗	風俗慣習	祭礼（信仰）	https://kunishitei.bunka.go.jp/heritage/detail/312/720
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	南須釜の念仏踊	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/244
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	古寺山自奉楽	民俗芸能	その他	https://kunishitei.bunka.go.jp/heritage/detail/312/239
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	小浜長折の三匹獅子舞	民俗芸能	風流	https://kunishitei.bunka.go.jp/heritage/detail/312/240
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	広瀬熊野神社の御田植	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/312/241
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	御宝殿の田楽と獅子舞	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/312/236
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	木幡の幡祭り	風俗慣習	人生・儀礼	https://kunishitei.bunka.go.jp/heritage/detail/312/247
312	記録作成等の措置を講ずべき無形の民俗文化財	福島県	津島の田植踊	民俗芸能	田楽	https://kunishitei.bunka.go.jp/heritage/detail/312/243
